state,year,seatbelt_avg,exercise_avg,smoke_avg,drink_avg,checkup_avg,healthcare_avg,weight_avg,height_avg
GA,2016,4.82770342,0.691629052,0.422924074,0.449388444,3.671725572,0.896424168,179.8719525,5.569470054
GA,2017,4.819539766,0.674077015,0.404044258,0.465761397,3.646512509,0.873790022,179.8459826,5.575044844
HI,2006,4.878549655,0.818937137,0.463222555,0.511433528,3.425344441,0.923366834,162.1526407,5.471686778
HI,2007,2.776595745,0.827894502,0.344594595,0.49857685,3.356913183,0.943674564,243.9472508,6.374348085
HI,2008,4.88447423,0.811505122,0.443320158,0.49857685,3.376860841,0.943181818,162.7684791,5.460204886
HI,2010,4.879987334,0.811218148,0.456386293,0.48161421,3.413015873,0.949619033,161.5162343,5.444539382
HI,2011,4.886003089,0.793084371,0.447545847,0.508205919,3.390009606,0.925073984,162.8170093,5.459637691
HI,2012,4.874204262,0.823164983,0.429037964,0.527121191,3.357289809,0.907312466,164.6768547,5.487926933
HI,2013,4.90471485,0.796471242,0.426187934,0.5152897,3.433645847,0.914618201,164.8617632,5.489404017
HI,2014,4.897116844,0.803401557,0.431882335,0.515331944,3.419354839,0.927354131,165.7634006,5.495929395
HI,2015,4.899807631,0.779773157,0.408624535,0.521954144,3.461741812,0.943779206,165.7734831,5.494554648
HI,2016,4.892405923,0.806962847,0.420034451,0.500333467,3.532964135,0.946723981,166.5609819,5.490951206
HI,2017,4.912954876,0.786359077,0.417221298,0.533380084,3.510226645,0.949134052,168.366249,5.503234813
ID,2006,4.593818985,0.781534203,0.428373565,0.461614759,3.174131352,0.859065717,174.287828,5.576395739
ID,2007,2.944444444,0.823663254,0.233447489,0.449604332,3.003478261,0.772468714,268.927314,6.260883967
ID,2008,4.641988255,0.762230514,0.420921544,0.449604332,3.233984457,0.872433105,175.9281722,5.576140206
ID,2010,4.64199815,0.763193709,0.432833561,0.41809625,3.25725695,0.874167171,176.2878285,5.577456458
ID,2011,4.654179738,0.779190122,0.418434783,0.453853296,3.293869665,0.863027985,176.6519327,5.578407581
ID,2012,4.625206082,0.775568691,0.422056686,0.436145017,3.307776163,0.878951149,176.3408481,5.571926999
ID,2013,4.667139097,0.76016016,0.42209414,0.454019665,3.308307927,0.860377358,178.2630986,5.590485133
